2023-03-22 13:21:13\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-22 13:21:13\t302\tGET /api/login/oauth2/code/kakao?code=J8iMtNu77TLcHv3xHHnCkay_9TM5rL6F66MPBr4Uw8nWghAiiiEYNMEIg_D_v-jKVIvNEAo9dNkAAAGHB4yvdA&state=x81_d9lZFjFN6_BzTrPt1KcwUxC-OE-LLlGgX1x9hbo%3D HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-22 13:21:13\t404\tGET /api/ HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t89
2023-03-22 13:22:46\t404\tGET /api/oauth2/authoriation/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t89
2023-03-22 13:23:43\t404\tGET /api/oaith2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t89
2023-03-22 13:25:26\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-22 13:25:28\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-22 13:25:28\t500\tGET /api/login/oauth2/code/kakao?code=AGMxK2xuqCdb7OuJ95X8gnKkf9zVDGF0GUINnqSGU35Xr2xqnZFnSWAWq7VTzCDE3Jt9eAoqJRAAAAGHB5CTJg&state=IiLrI_U2wwt8p5yuuR_eKu-mFXbr-RCs8-GlryeilEk%3D HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t89
2023-03-22 13:27:17\t404\tGET /api/oauth2/authoriation/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t89
2023-03-22 13:28:11\t404\tGET /api/oauth2/authoriation/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t89
